Cereal,Veg&Fruits,Roots,Protein,Sugar&Oil
0.26081581,0.06392169,0.03783442,0.25488324,0.29655745
0.63921029,0.04219522,0.05282917,0.07850345,0.1398125
0.48653315,0.04972585,0.04171284,0.13812977,0.22651046
0.32164551,0.07936781,0.3127525,0.05529214,0.16135469
0.34941723,0.06916117,0.05321691,0.16548407,0.29872192
