Cereals,Veg&Fruits,Roots,Protein,Sugar&Oil
0.45588828,0.05679643,0.03390499,0.15555967,0.23660721
0.28092728,0.06314791,0.04096918,0.22844329,0.30287581
0.41776012,0.06770995,0.17555379,0.06556202,0.20501633
0.27654994,0.08484281,0.33686385,0.05821077,0.17058856
0.62534423,0.04244313,0.04990417,0.0760855,0.15903296
